provider_or_source,note,url
Liquidrom,Pricing for 90/120/180 minute thermal bath products,https://www.liquidrom-berlin.de/en/preise.php
Talking Hands Ceramics,Real Neukölln ceramics studio; no public pricing found on fetched page,https://www.talkinghandsceramics.com
Atelier Amélie,Public snippets indicate Coffee & Clay at €60 and 3-week course at €160,https://atelier-amelie.com
feuer zeug keramik,Wheel classes at €210 on English page,https://feuer-zeug-keramik.de/english.html
claï studio,"Beginner pottery classes from €85, weekender €195",https://www.claistudio.com/collections/pottery-classes-workshops-berlin-prenzlauer-berg
HANDFUL,"Starter workshop €90, meditation €25",https://www.handfulceramics.com/our-classes
Ganymed Brasserie,"Gift voucher availability confirmed, some offer prices mocked",https://www.ganymed-brasserie.de/en/gift-vouchers/
Berlin Food Stories Voucher,Voucher across 40+ Berlin restaurants,https://www.bfsvoucher.com
Babylon,Historic cinema and recurring special screenings; ticket prices mocked,https://www.visitberlin.de/en/babylon
Sanft & Schön,Facials from €54 and voucher offering confirmed,https://xn--sanft-schn-mcb.de/en/facial-treatment/
