provider_name,category,subcategory,offer_name,description,price_eur,price_usdc_mock,currency,city,district,address_hint,country_code,website,source,gift_ready,delivery_type,duration_or_validity,tags,status
Liquidrom,spa,thermal bath,Short Escape 90,"Thermal bath access for 90 minutes at Liquidrom, suitable as an entry-level wellness gift in central Berlin.",22.0,24,EUR,Berlin,Kreuzberg,Möckernstraße 10,DE,https://www.liquidrom-berlin.de/en/preise.php,Liquidrom tariffs page,yes,email_qr,90 min,"spa,wellness,thermal bath,central berlin",seed_live
Liquidrom,spa,thermal bath,Urban Flow 120,"Thermal bath access for 120 minutes, positioned as a stronger relaxation gift option.",24.5,27,EUR,Berlin,Kreuzberg,Möckernstraße 10,DE,https://www.liquidrom-berlin.de/en/preise.php,Liquidrom tariffs page,yes,email_qr,120 min,"spa,wellness,thermal bath,mid-tier",seed_live
Liquidrom,spa,thermal bath,Deep Dive 180,"Extended thermal bath session for 180 minutes, ideal for premium gifting and longer stays.",29.5,32,EUR,Berlin,Kreuzberg,Möckernstraße 10,DE,https://www.liquidrom-berlin.de/en/preise.php,Liquidrom tariffs page,yes,email_qr,180 min,"spa,wellness,premium,long stay",seed_live
Talking Hands Ceramics,ceramics,pottery class,Beginner Pottery Experience,"Intro pottery workshop in Neukölln focused on useful handmade objects like mugs, bowls, plates or vases.",75.0,82,EUR,Berlin,Neukölln,Herrfurthplatz / Schillerkiez,DE,https://www.talkinghandsceramics.com,Talking Hands homepage,yes,email_qr,2-3 hours,"ceramics,workshop,creative,beginner,neukolln",seed_live
Atelier Amélie,ceramics,workshop,Coffee & Clay Workshop,"One-day ceramics workshop in a cozy Berlin studio, good for gifting to beginners wanting a social clay session.",60.0,66,EUR,Berlin,Berlin,Studio location on website,DE,https://atelier-amelie.com,Atelier Amélie classes page snippet,yes,email_qr,1 day,"ceramics,coffee,beginner,creative,giftable",seed_live
Atelier Amélie,ceramics,course,Evening Clay 3-Week Course,"Three-week pottery course with building, trimming and glazing, suited to premium creative gifting.",160.0,175,EUR,Berlin,Berlin,Studio location on website,DE,https://atelier-amelie.com,Atelier Amélie classes page snippet,yes,email_qr,3 weeks,"ceramics,course,premium,creative",seed_live
feuer zeug keramik,ceramics,pottery class,Wheel Throwing Course,"Four-session wheel-throwing course in Kreuzberg with glazing included, suitable for serious beginners.",210.0,230,EUR,Berlin,Kreuzberg,Mariannenstraße 48,DE,https://feuer-zeug-keramik.de/english.html,feuer zeug keramik English page,yes,email_qr,4 sessions x 2h,"ceramics,wheel throwing,kreative kurse,kreuzberg",seed_live
claï studio,ceramics,pottery class,Try the Wheel for Beginners,"Small-group beginner throwing wheel session in Prenzlauer Berg/Mitte area, positioned as a giftable first pottery experience.",85.0,93,EUR,Berlin,Prenzlauer Berg,Teutoburger Platz area,DE,https://www.claistudio.com/collections/pottery-classes-workshops-berlin-prenzlauer-berg,claï studio classes page,yes,email_qr,single class,"ceramics,beginner,small group,prenzlauer berg",seed_live
claï studio,ceramics,pottery class,Weekender Throwing Wheel,Weekend beginner throwing wheel class in a premium small-group setup.,195.0,214,EUR,Berlin,Prenzlauer Berg,Teutoburger Platz area,DE,https://www.claistudio.com/collections/pottery-classes-workshops-berlin-prenzlauer-berg,claï studio classes page,yes,email_qr,weekend course,"ceramics,weekend,premium,creative",seed_live
HANDFUL,ceramics,workshop,Ceramic Starter / Anfängerkurs,Beginner ceramic workshop in Berlin with a mindful and process-focused approach.,90.0,99,EUR,Berlin,Berlin,Studio location on website,DE,https://www.handfulceramics.com/our-classes,HANDFUL classes page,yes,email_qr,2 hours,"ceramics,beginner,mindful,workshop",seed_live
HANDFUL,ceramics,workshop,Tactile Clay Meditation,Short mindful clay session designed more like a creative wellness experience than a traditional class.,25.0,28,EUR,Berlin,Berlin,Studio location on website,DE,https://www.handfulceramics.com/our-classes,HANDFUL classes page,yes,email_qr,1 hour,"ceramics,mindfulness,creative,entry level",seed_live
Ganymed Brasserie,restaurant,voucher,Dinner Voucher,"Restaurant voucher for a classic Berlin brasserie by the river, suitable for date-night gifting.",50.0,55,EUR,Berlin,Mitte,Am Schiffbauerdamm area,DE,https://www.ganymed-brasserie.de/en/gift-vouchers/,Ganymed gift voucher page,yes,email_qr,voucher validity 3 years,"restaurant,dinner,voucher,romantic,mitte",seed_live
Ganymed Brasserie,restaurant,voucher,Wine Seminar Voucher,Gift voucher positioned for culinary lovers and wine-focused experiences at Ganymed.,89.0,97,EUR,Berlin,Mitte,Am Schiffbauerdamm area,DE,https://www.ganymed-brasserie.de/en/gift-vouchers/,Ganymed gift voucher page,yes,email_qr,event-based,"restaurant,wine seminar,culinary,experience",seed_live
